trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,0,10.858345469939342,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,19,9.101069772802004,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,0,-95.23705931669251,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,16,5.234063321683792,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,0,-54.716799050491716,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,0,-48.05702713925071,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",30,0,-81.94397025526585,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",25,0,-132.46360076788304,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",25,0,-41.70882367209432,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",30,11,-44.59157003009895,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",30,14,-37.56156174147434,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-88.12428678551191,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,3,-31.052255552565178,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-14.266587207482067,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",20,5,-91.7415953984276,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-110.9144555284325,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,0,-60.996832418814,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",30,2,16.275476141284763,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,9,-0.2844331039265966,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",35,10,-33.3568125484839,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,0,-134.4982009721494,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,2,-57.60684781652519,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",25,5,-52.630599381034614,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",30,0,-73.00898589935638,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,0,11.681614264921055,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,12,-9.50438816947563,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,6,-60.61440732440877,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",25,13,-14.909656931949261,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
